CPU%,RAM_USADA,RAM_LIVRE,RAM_TOTAL
1%,0.482132 GB,13.143 GB,14.6125 GB
1%,0.481499 GB,13.1437 GB,14.6125 GB
1%,0.481129 GB,13.1443 GB,14.6125 GB
1%,0.480846 GB,13.1446 GB,14.6125 GB
1%,0.4804 GB,13.1448 GB,14.6125 GB
1%,0.480354 GB,13.1448 GB,14.6125 GB
1%,0.480492 GB,13.1449 GB,14.6125 GB
1%,0.480034 GB,13.1451 GB,14.6125 GB
1%,0.480228 GB,13.1452 GB,14.6125 GB
1%,0.480583 GB,13.1448 GB,14.6125 GB
1%,0.48032 GB,13.1448 GB,14.6125 GB
1%,0.480156 GB,13.1452 GB,14.6125 GB
1%,0.48024 GB,13.1452 GB,14.6125 GB
1%,0.480061 GB,13.1451 GB,14.6125 GB
1%,0.480068 GB,13.1451 GB,14.6125 GB
1%,0.479691 GB,13.1457 GB,14.6125 GB
1%,0.479939 GB,13.1457 GB,14.6125 GB
1%,0.479969 GB,13.1457 GB,14.6125 GB
1%,0.480442 GB,13.145 GB,14.6125 GB
1%,0.480209 GB,13.1452 GB,14.6125 GB
1%,0.480019 GB,13.1454 GB,14.6125 GB
1%,0.479939 GB,13.1457 GB,14.6125 GB
1%,0.480198 GB,13.1452 GB,14.6125 GB
1%,0.480034 GB,13.1454 GB,14.6125 GB
1%,0.480213 GB,13.1452 GB,14.6125 GB
1%,0.479855 GB,13.1455 GB,14.6125 GB
1%,0.479721 GB,13.1457 GB,14.6125 GB
1%,0.479801 GB,13.1458 GB,14.6125 GB
1%,0.47451 GB,13.1506 GB,14.6125 GB
1%,0.474308 GB,13.1511 GB,14.6125 GB
0.9%,0.474037 GB,13.1513 GB,14.6125 GB
0.9%,0.474174 GB,13.1512 GB,14.6125 GB
0.9%,0.473587 GB,13.1515 GB,14.6125 GB
1%,0.474075 GB,13.1513 GB,14.6125 GB
1%,0.474758 GB,13.1511 GB,14.6125 GB
1%,0.474285 GB,13.1508 GB,14.6125 GB
1%,0.473881 GB,13.1517 GB,14.6125 GB
1%,0.473648 GB,13.1515 GB,14.6125 GB
1%,0.473934 GB,13.1514 GB,14.6125 GB
0.9%,0.47398 GB,13.1514 GB,14.6125 GB
0.9%,0.473415 GB,13.1517 GB,14.6125 GB
0.9%,0.474258 GB,13.1516 GB,14.6125 GB
0.9%,0.474621 GB,13.1507 GB,14.6125 GB
0.9%,0.47398 GB,13.1514 GB,14.6125 GB
0.9%,0.473793 GB,13.1511 GB,14.6125 GB
0.9%,0.473717 GB,13.1516 GB,14.6125 GB
1%,0.474022 GB,13.1511 GB,14.6125 GB
1%,0.473915 GB,13.1515 GB,14.6125 GB
1%,0.474411 GB,13.1507 GB,14.6125 GB
0.9%,0.47448 GB,13.1506 GB,14.6125 GB
0.9%,0.474331 GB,13.1508 GB,14.6125 GB
0.9%,0.473915 GB,13.1514 GB,14.6125 GB
0.9%,0.473705 GB,13.1516 GB,14.6125 GB
0.9%,0.47366 GB,13.1517 GB,14.6125 GB
0.9%,0.474201 GB,13.1509 GB,14.6125 GB
0.9%,0.473999 GB,13.1514 GB,14.6125 GB
0.9%,0.473736 GB,13.1514 GB,14.6125 GB
0.9%,0.474411 GB,13.1512 GB,14.6125 GB
0.9%,0.474045 GB,13.1513 GB,14.6125 GB
0.9%,0.473984 GB,13.1511 GB,14.6125 GB
0.9%,0.474442 GB,13.1511 GB,14.6125 GB
0.9%,0.474575 GB,13.1505 GB,14.6125 GB
0.9%,0.474358 GB,13.1508 GB,14.6125 GB
0.9%,0.474808 GB,13.1505 GB,14.6125 GB
0.9%,0.47435 GB,13.151 GB,14.6125 GB
0.9%,0.474171 GB,13.1511 GB,14.6125 GB
0.9%,0.474434 GB,13.1509 GB,14.6125 GB
0.9%,0.474701 GB,13.1506 GB,14.6125 GB
0.9%,0.47374 GB,13.1516 GB,14.6125 GB
0.9%,0.473282 GB,13.1523 GB,14.6125 GB
0.9%,0.473289 GB,13.152 GB,14.6125 GB
0.9%,0.473515 GB,13.1517 GB,14.6125 GB
0.9%,0.473988 GB,13.1515 GB,14.6125 GB
0.9%,0.474026 GB,13.151 GB,14.6125 GB
0.9%,0.474041 GB,13.1509 GB,14.6125 GB
0.9%,0.473923 GB,13.1511 GB,14.6125 GB
0.9%,0.474503 GB,13.151 GB,14.6125 GB
0.9%,0.47403 GB,13.151 GB,14.6125 GB
0.9%,0.474102 GB,13.1509 GB,14.6125 GB
0.9%,0.474087 GB,13.1511 GB,14.6125 GB
0.9%,0.47374 GB,13.1515 GB,14.6125 GB
0.9%,0.474342 GB,13.1511 GB,14.6125 GB
0.9%,0.474148 GB,13.1511 GB,14.6125 GB
0.9%,0.474194 GB,13.1511 GB,14.6125 GB
0.9%,0.474182 GB,13.1508 GB,14.6125 GB
0.9%,0.479828 GB,13.1444 GB,14.6125 GB
0.9%,0.47411 GB,13.1502 GB,14.6125 GB
0.9%,0.473782 GB,13.1505 GB,14.6125 GB
0.9%,0.473549 GB,13.1502 GB,14.6125 GB
0.9%,0.473999 GB,13.1505 GB,14.6125 GB
0.9%,0.474419 GB,13.1498 GB,14.6125 GB
0.9%,0.474224 GB,13.1503 GB,14.6125 GB
0.9%,0.474186 GB,13.1501 GB,14.6125 GB
0.9%,0.473782 GB,13.1505 GB,14.6125 GB
0.9%,0.474045 GB,13.1505 GB,14.6125 GB
0.9%,0.474007 GB,13.1505 GB,14.6125 GB
11.9%,0.502155 GB,13.122 GB,14.6125 GB
20.4%,0.490768 GB,13.1331 GB,14.6125 GB
29.4%,0.491055 GB,13.1331 GB,14.6125 GB
35.6%,0.490925 GB,13.1332 GB,14.6125 GB
37.7%,0.491394 GB,13.1328 GB,14.6125 GB
57.2%,0.544922 GB,13.0798 GB,14.6125 GB
54.7%,0.507454 GB,13.1161 GB,14.6125 GB
61.7%,0.509617 GB,13.1142 GB,14.6125 GB
66.4%,0.510494 GB,13.1136 GB,14.6125 GB
66.9%,0.50597 GB,13.1173 GB,14.6125 GB
65.4%,0.504936 GB,13.1189 GB,14.6125 GB
66.3%,0.506195 GB,13.1178 GB,14.6125 GB
66.3%,0.50581 GB,13.118 GB,14.6125 GB
66.5%,0.506348 GB,13.118 GB,14.6125 GB
65.5%,0.500618 GB,13.1229 GB,14.6125 GB
63.7%,0.494354 GB,13.1297 GB,14.6125 GB
59.6%,0.490387 GB,13.1341 GB,14.6125 GB
55.7%,0.488926 GB,13.1349 GB,14.6125 GB
52.4%,0.48793 GB,13.1363 GB,14.6125 GB
49.6%,0.487 GB,13.137 GB,14.6125 GB
46.8%,0.486477 GB,13.1373 GB,14.6125 GB
44.3%,0.486191 GB,13.1381 GB,14.6125 GB
42.5%,0.485069 GB,13.1392 GB,14.6125 GB
41.2%,0.48312 GB,13.1409 GB,14.6125 GB
41.7%,0.48769 GB,13.1361 GB,14.6125 GB
41.5%,0.487621 GB,13.1364 GB,14.6125 GB
41.2%,0.4884 GB,13.1354 GB,14.6125 GB
40.4%,0.487587 GB,13.1364 GB,14.6125 GB
40.6%,0.487278 GB,13.1365 GB,14.6125 GB
40.5%,0.4855 GB,13.1385 GB,14.6125 GB
39%,0.487015 GB,13.1368 GB,14.6125 GB
40.1%,0.488838 GB,13.1352 GB,14.6125 GB
40.4%,0.48859 GB,13.1354 GB,14.6125 GB
40.9%,0.489361 GB,13.1346 GB,14.6125 GB
41.9%,0.489475 GB,13.134 GB,14.6125 GB
42.8%,0.490665 GB,13.1331 GB,14.6125 GB
43.2%,0.489983 GB,13.134 GB,14.6125 GB
43.3%,0.488007 GB,13.1357 GB,14.6125 GB
44%,0.490707 GB,13.1336 GB,14.6125 GB
44.7%,0.491287 GB,13.1327 GB,14.6125 GB
45%,0.490376 GB,13.1336 GB,14.6125 GB
46.3%,0.490402 GB,13.1335 GB,14.6125 GB
46%,0.491013 GB,13.1329 GB,14.6125 GB
46.7%,0.489792 GB,13.1341 GB,14.6125 GB
47.6%,0.489449 GB,13.1344 GB,14.6125 GB
46.7%,0.488945 GB,13.1349 GB,14.6125 GB
45.9%,0.488235 GB,13.1356 GB,14.6125 GB
45.4%,0.48951 GB,13.1344 GB,14.6125 GB
45.6%,0.492527 GB,13.1313 GB,14.6125 GB
45%,0.489891 GB,13.134 GB,14.6125 GB
44.4%,0.487926 GB,13.1359 GB,14.6125 GB
43.8%,0.487427 GB,13.1364 GB,14.6125 GB
43.5%,0.488846 GB,13.135 GB,14.6125 GB
43.4%,0.490124 GB,13.1337 GB,14.6125 GB
43.2%,0.488461 GB,13.1351 GB,14.6125 GB
42.9%,0.488377 GB,13.1357 GB,14.6125 GB
42.5%,0.488541 GB,13.1354 GB,14.6125 GB
42.2%,0.48798 GB,13.1356 GB,14.6125 GB
42%,0.490303 GB,13.1342 GB,14.6125 GB
42.4%,0.492035 GB,13.1313 GB,14.6125 GB
21.5%,0.48262 GB,13.141 GB,14.6125 GB
33.5%,0.490273 GB,13.1338 GB,14.6125 GB
41.3%,0.492844 GB,13.131 GB,14.6125 GB
37.3%,0.4925 GB,13.1313 GB,14.6125 GB
39.8%,0.491962 GB,13.1319 GB,14.6125 GB
41.3%,0.491783 GB,13.132 GB,14.6125 GB
42.6%,0.490662 GB,13.1332 GB,14.6125 GB
42.6%,0.494335 GB,13.1295 GB,14.6125 GB
43%,0.495235 GB,13.1286 GB,14.6125 GB
43.6%,0.491604 GB,13.1322 GB,14.6125 GB
23.8%,0.485901 GB,13.1379 GB,14.6125 GB
34.3%,0.493073 GB,13.1305 GB,14.6125 GB
40.4%,0.492928 GB,13.1306 GB,14.6125 GB
43.9%,0.493538 GB,13.1303 GB,14.6125 GB
46.3%,0.493439 GB,13.1304 GB,14.6125 GB
47.9%,0.493198 GB,13.1304 GB,14.6125 GB
48.9%,0.494289 GB,13.1295 GB,14.6125 GB
49.8%,0.494289 GB,13.1295 GB,14.6125 GB
50.5%,0.494179 GB,13.1296 GB,14.6125 GB
51.3%,0.49419 GB,13.1296 GB,14.6125 GB
51.9%,0.494049 GB,13.1295 GB,14.6125 GB
52.5%,0.494137 GB,13.1297 GB,14.6125 GB
52.6%,0.494411 GB,13.1294 GB,14.6125 GB
52.8%,0.494461 GB,13.1291 GB,14.6125 GB
53.2%,0.495296 GB,13.1283 GB,14.6125 GB
53.2%,0.494606 GB,13.1292 GB,14.6125 GB
53.9%,0.495182 GB,13.1284 GB,14.6125 GB
54.1%,0.49543 GB,13.1286 GB,14.6125 GB
54.2%,0.496376 GB,13.1277 GB,14.6125 GB
54.3%,0.49564 GB,13.1282 GB,14.6125 GB
52.4%,0.495678 GB,13.1276 GB,14.6125 GB
52.6%,0.496246 GB,13.1281 GB,14.6125 GB
52.7%,0.496002 GB,13.1278 GB,14.6125 GB
53.1%,0.496586 GB,13.1269 GB,14.6125 GB
52.3%,0.495941 GB,13.1276 GB,14.6125 GB
52.6%,0.495327 GB,13.1282 GB,14.6125 GB
52.9%,0.495541 GB,13.1283 GB,14.6125 GB
52.9%,0.497322 GB,13.1267 GB,14.6125 GB
52.9%,0.496155 GB,13.1276 GB,14.6125 GB
52.9%,0.496506 GB,13.1273 GB,14.6125 GB
52.8%,0.49818 GB,13.1259 GB,14.6125 GB
52.9%,0.497192 GB,13.1266 GB,14.6125 GB
52.9%,0.496624 GB,13.1271 GB,14.6125 GB
53.1%,0.496658 GB,13.1269 GB,14.6125 GB
53.1%,0.496574 GB,13.1269 GB,14.6125 GB
53.1%,0.497185 GB,13.1266 GB,14.6125 GB
53.3%,0.498291 GB,13.1258 GB,14.6125 GB
53.3%,0.497467 GB,13.1266 GB,14.6125 GB
53.3%,0.497334 GB,13.1264 GB,14.6125 GB
27.3%,0.501377 GB,13.123 GB,14.6125 GB
28.3%,0.501926 GB,13.1219 GB,14.6125 GB
27.8%,0.501671 GB,13.1221 GB,14.6125 GB
27.6%,0.50251 GB,13.121 GB,14.6125 GB
27.3%,0.499313 GB,13.124 GB,14.6125 GB
1%,0.485806 GB,13.1382 GB,14.6125 GB
1%,0.484047 GB,13.1393 GB,14.6125 GB
1%,0.48008 GB,13.144 GB,14.6125 GB
1%,0.478016 GB,13.1455 GB,14.6125 GB
1%,0.477795 GB,13.146 GB,14.6125 GB
1%,0.473061 GB,13.1505 GB,14.6125 GB
1%,0.472378 GB,13.1517 GB,14.6125 GB
1%,0.471886 GB,13.1519 GB,14.6125 GB
1%,0.471039 GB,13.1525 GB,14.6125 GB
1%,0.47036 GB,13.1532 GB,14.6125 GB
1%,0.470184 GB,13.1536 GB,14.6125 GB
1%,0.469456 GB,13.1541 GB,14.6125 GB
1%,0.469677 GB,13.1541 GB,14.6125 GB
1%,0.469116 GB,13.1544 GB,14.6125 GB
1%,0.469799 GB,13.154 GB,14.6125 GB
1%,0.469509 GB,13.1543 GB,14.6125 GB
1%,0.469276 GB,13.1543 GB,14.6125 GB
1%,0.469421 GB,13.1544 GB,14.6125 GB
1%,0.469128 GB,13.1544 GB,14.6125 GB
1%,0.46946 GB,13.1541 GB,14.6125 GB
1%,0.46928 GB,13.1545 GB,14.6125 GB
1%,0.468739 GB,13.1551 GB,14.6125 GB
1%,0.468246 GB,13.1558 GB,14.6125 GB
1%,0.46851 GB,13.1553 GB,14.6125 GB
1%,0.468952 GB,13.1548 GB,14.6125 GB
1%,0.46867 GB,13.1551 GB,14.6125 GB
1%,0.469513 GB,13.1543 GB,14.6125 GB
1%,0.468761 GB,13.1548 GB,14.6125 GB
1%,0.46925 GB,13.1545 GB,14.6125 GB
1%,0.46891 GB,13.1549 GB,14.6125 GB
1%,0.468864 GB,13.1546 GB,14.6125 GB
1%,0.468918 GB,13.1549 GB,14.6125 GB
3%,0.46904 GB,13.1545 GB,14.6125 GB
9.5%,0.469402 GB,13.1546 GB,14.6125 GB
16.6%,0.469425 GB,13.1543 GB,14.6125 GB
20%,0.469109 GB,13.1544 GB,14.6125 GB
22.2%,0.469193 GB,13.1546 GB,14.6125 GB
23.6%,0.469193 GB,13.1546 GB,14.6125 GB
24.1%,0.469517 GB,13.1542 GB,14.6125 GB
21.2%,0.469833 GB,13.1539 GB,14.6125 GB
19%,0.469299 GB,13.1544 GB,14.6125 GB
17.3%,0.469368 GB,13.1543 GB,14.6125 GB
15.8%,0.469616 GB,13.1539 GB,14.6125 GB
13.4%,0.469482 GB,13.1545 GB,14.6125 GB
12.6%,0.469585 GB,13.1542 GB,14.6125 GB
12.1%,0.469608 GB,13.1541 GB,14.6125 GB
11.4%,0.469662 GB,13.1539 GB,14.6125 GB
10.8%,0.47039 GB,13.1533 GB,14.6125 GB
10.3%,0.469948 GB,13.1538 GB,14.6125 GB
9.8%,0.469498 GB,13.154 GB,14.6125 GB
9.4%,0.470181 GB,13.1536 GB,14.6125 GB
9%,0.470181 GB,13.1533 GB,14.6125 GB
0.9%,0.469921 GB,13.1541 GB,14.6125 GB
0.9%,0.464714 GB,13.159 GB,14.6125 GB
0.9%,0.464779 GB,13.1592 GB,14.6125 GB
0.9%,0.465313 GB,13.1584 GB,14.6125 GB
0.9%,0.46545 GB,13.1585 GB,14.6125 GB
0.6%,0.469822 GB,13.1532 GB,14.6125 GB
0.6%,0.469852 GB,13.1532 GB,14.6125 GB
0.6%,0.470005 GB,13.153 GB,14.6125 GB
0.8%,0.470306 GB,13.153 GB,14.6125 GB
0.8%,0.469967 GB,13.1533 GB,14.6125 GB
0.7%,0.469593 GB,13.1534 GB,14.6125 GB
0.7%,0.468494 GB,13.1543 GB,14.6125 GB
0.7%,0.469044 GB,13.154 GB,14.6125 GB
0.7%,0.468433 GB,13.1546 GB,14.6125 GB
0.6%,0.46851 GB,13.1545 GB,14.6125 GB
0.6%,0.467758 GB,13.1552 GB,14.6125 GB
0.6%,0.468021 GB,13.155 GB,14.6125 GB
0.6%,0.468094 GB,13.1549 GB,14.6125 GB
0.8%,0.468761 GB,13.1545 GB,14.6125 GB
0.8%,0.468098 GB,13.1547 GB,14.6125 GB
6.7%,0.507141 GB,13.094 GB,14.6125 GB
4.7%,0.48465 GB,13.1383 GB,14.6125 GB
11.2%,0.507187 GB,13.116 GB,14.6125 GB
15.4%,0.492565 GB,13.13 GB,14.6125 GB
11.6%,0.492027 GB,13.1305 GB,14.6125 GB
9.8%,0.492832 GB,13.13 GB,14.6125 GB
16.9%,0.494125 GB,13.1285 GB,14.6125 GB
28.7%,0.496048 GB,13.1265 GB,14.6125 GB
35.2%,0.49572 GB,13.1271 GB,14.6125 GB
36.2%,0.495178 GB,13.1281 GB,14.6125 GB
41.1%,0.497383 GB,13.1254 GB,14.6125 GB
43.7%,0.495731 GB,13.1274 GB,14.6125 GB
47.1%,0.496723 GB,13.1258 GB,14.6125 GB
49.8%,0.494236 GB,13.1283 GB,14.6125 GB
52.1%,0.494537 GB,13.1282 GB,14.6125 GB
52.1%,0.494793 GB,13.128 GB,14.6125 GB
54.2%,0.494991 GB,13.1278 GB,14.6125 GB
56.2%,0.495358 GB,13.1274 GB,14.6125 GB
56.3%,0.494209 GB,13.1286 GB,14.6125 GB
57.2%,0.493244 GB,13.1295 GB,14.6125 GB
58.8%,0.49419 GB,13.1286 GB,14.6125 GB
59.7%,0.49398 GB,13.1288 GB,14.6125 GB
60.4%,0.494961 GB,13.1283 GB,14.6125 GB
61.3%,0.495792 GB,13.127 GB,14.6125 GB
62.2%,0.496006 GB,13.1268 GB,14.6125 GB
60%,0.495468 GB,13.1271 GB,14.6125 GB
61%,0.495686 GB,13.1271 GB,14.6125 GB
61.8%,0.495827 GB,13.1269 GB,14.6125 GB
62.1%,0.496704 GB,13.1261 GB,14.6125 GB
62.6%,0.496845 GB,13.1262 GB,14.6125 GB
61.8%,0.494991 GB,13.1275 GB,14.6125 GB
60.4%,0.495098 GB,13.1277 GB,14.6125 GB
59.4%,0.495716 GB,13.1271 GB,14.6125 GB
58.1%,0.494282 GB,13.1282 GB,14.6125 GB
56.5%,0.494583 GB,13.1284 GB,14.6125 GB
55.3%,0.494553 GB,13.1282 GB,14.6125 GB
54.1%,0.495068 GB,13.1274 GB,14.6125 GB
53%,0.49395 GB,13.129 GB,14.6125 GB
51.9%,0.493244 GB,13.1295 GB,14.6125 GB
51%,0.494347 GB,13.1284 GB,14.6125 GB
50.8%,0.494534 GB,13.1282 GB,14.6125 GB
49.8%,0.49416 GB,13.1286 GB,14.6125 GB
49.5%,0.49543 GB,13.1273 GB,14.6125 GB
48.6%,0.49477 GB,13.128 GB,14.6125 GB
48.6%,0.497646 GB,13.1251 GB,14.6125 GB
48.8%,0.496407 GB,13.1263 GB,14.6125 GB
49.2%,0.494942 GB,13.1276 GB,14.6125 GB
49.1%,0.495487 GB,13.1272 GB,14.6125 GB
48.4%,0.495014 GB,13.1277 GB,14.6125 GB
48.1%,0.495518 GB,13.127 GB,14.6125 GB
48.3%,0.497101 GB,13.1256 GB,14.6125 GB
48.6%,0.496021 GB,13.1265 GB,14.6125 GB
48.6%,0.495865 GB,13.1269 GB,14.6125 GB
48.1%,0.495018 GB,13.1277 GB,14.6125 GB
48.2%,0.496582 GB,13.1262 GB,14.6125 GB
0.8%,0.483261 GB,13.1397 GB,14.6125 GB
40.8%,0.499321 GB,13.1237 GB,14.6125 GB
47.3%,0.49789 GB,13.1248 GB,14.6125 GB
37.9%,0.498112 GB,13.1246 GB,14.6125 GB
41.9%,0.49847 GB,13.1245 GB,14.6125 GB
44.7%,0.498474 GB,13.1242 GB,14.6125 GB
46.9%,0.499657 GB,13.1233 GB,14.6125 GB
48.2%,0.499744 GB,13.1227 GB,14.6125 GB
49.4%,0.50034 GB,13.1224 GB,14.6125 GB
50.6%,0.500725 GB,13.122 GB,14.6125 GB
51.4%,0.500698 GB,13.122 GB,14.6125 GB
52%,0.50021 GB,13.1225 GB,14.6125 GB
52.7%,0.500427 GB,13.1226 GB,14.6125 GB
53%,0.499653 GB,13.1231 GB,14.6125 GB
53.5%,0.500546 GB,13.1222 GB,14.6125 GB
53.8%,0.500835 GB,13.1221 GB,14.6125 GB
54.1%,0.501583 GB,13.1209 GB,14.6125 GB
54.3%,0.5023 GB,13.1204 GB,14.6125 GB
54.6%,0.502617 GB,13.1201 GB,14.6125 GB
54.8%,0.502705 GB,13.1203 GB,14.6125 GB
54.9%,0.501938 GB,13.1205 GB,14.6125 GB
55.1%,0.502743 GB,13.1199 GB,14.6125 GB
55.3%,0.502781 GB,13.1199 GB,14.6125 GB
55.6%,0.503284 GB,13.1194 GB,14.6125 GB
55.7%,0.503109 GB,13.1193 GB,14.6125 GB
55.7%,0.504192 GB,13.1185 GB,14.6125 GB
55.7%,0.503998 GB,13.1187 GB,14.6125 GB
55.9%,0.504105 GB,13.1186 GB,14.6125 GB
56%,0.503876 GB,13.1188 GB,14.6125 GB
56.1%,0.502914 GB,13.1198 GB,14.6125 GB
56.1%,0.502941 GB,13.1195 GB,14.6125 GB
56.3%,0.503754 GB,13.1193 GB,14.6125 GB
56.3%,0.502979 GB,13.1197 GB,14.6125 GB
56.4%,0.503933 GB,13.119 GB,14.6125 GB
56.5%,0.502766 GB,13.1199 GB,14.6125 GB
55%,0.503994 GB,13.1187 GB,14.6125 GB
54.8%,0.502926 GB,13.1193 GB,14.6125 GB
54.6%,0.503525 GB,13.1189 GB,14.6125 GB
54.8%,0.503403 GB,13.1193 GB,14.6125 GB
54.6%,0.503792 GB,13.1192 GB,14.6125 GB
54.7%,0.503792 GB,13.1191 GB,14.6125 GB
54.7%,0.503166 GB,13.1192 GB,14.6125 GB
54.8%,0.504631 GB,13.118 GB,14.6125 GB
54.9%,0.504921 GB,13.1177 GB,14.6125 GB
55%,0.504452 GB,13.1182 GB,14.6125 GB
55.1%,0.50412 GB,13.1185 GB,14.6125 GB
55.1%,0.503948 GB,13.119 GB,14.6125 GB
55.3%,0.503719 GB,13.1189 GB,14.6125 GB
55.3%,0.504536 GB,13.1181 GB,14.6125 GB
55.4%,0.50465 GB,13.1177 GB,14.6125 GB
55.4%,0.505161 GB,13.1175 GB,14.6125 GB
55.5%,0.50552 GB,13.1171 GB,14.6125 GB
0.8%,0.491707 GB,13.1307 GB,14.6125 GB
6.8%,0.489616 GB,13.1331 GB,14.6125 GB
3.8%,0.489426 GB,13.1333 GB,14.6125 GB
2.6%,0.488461 GB,13.134 GB,14.6125 GB
2.2%,0.48827 GB,13.1345 GB,14.6125 GB
1.2%,0.484608 GB,13.1379 GB,14.6125 GB
1.1%,0.483315 GB,13.1389 GB,14.6125 GB
1%,0.482941 GB,13.1398 GB,14.6125 GB
1%,0.482368 GB,13.1406 GB,14.6125 GB
1%,0.481403 GB,13.1411 GB,14.6125 GB
1%,0.481327 GB,13.1414 GB,14.6125 GB
0.9%,0.480915 GB,13.1421 GB,14.6125 GB
0.9%,0.480728 GB,13.1423 GB,14.6125 GB
0.9%,0.481022 GB,13.1419 GB,14.6125 GB
0.9%,0.481144 GB,13.1416 GB,14.6125 GB
0.9%,0.480469 GB,13.1417 GB,14.6125 GB
0.9%,0.480862 GB,13.1418 GB,14.6125 GB
0.9%,0.481033 GB,13.1419 GB,14.6125 GB
0.9%,0.481056 GB,13.1416 GB,14.6125 GB
0.9%,0.481125 GB,13.1413 GB,14.6125 GB
0.8%,0.481102 GB,13.1416 GB,14.6125 GB
0.9%,0.480629 GB,13.1423 GB,14.6125 GB
0.9%,0.480412 GB,13.142 GB,14.6125 GB
0.9%,0.480247 GB,13.1422 GB,14.6125 GB
0.9%,0.476822 GB,13.1459 GB,14.6125 GB
0.9%,0.477371 GB,13.1453 GB,14.6125 GB
0.9%,0.477131 GB,13.1455 GB,14.6125 GB
0.9%,0.47744 GB,13.1453 GB,14.6125 GB
0.9%,0.47707 GB,13.1456 GB,14.6125 GB
0.9%,0.4771 GB,13.1456 GB,14.6125 GB
0.8%,0.477264 GB,13.1457 GB,14.6125 GB
0.8%,0.477234 GB,13.1454 GB,14.6125 GB
0.8%,0.476288 GB,13.1464 GB,14.6125 GB
0.8%,0.476311 GB,13.1464 GB,14.6125 GB
0.8%,0.476791 GB,13.1459 GB,14.6125 GB
0.8%,0.476234 GB,13.1462 GB,14.6125 GB
0.8%,0.475964 GB,13.1465 GB,14.6125 GB
0.8%,0.476002 GB,13.1467 GB,14.6125 GB
0.8%,0.47628 GB,13.1461 GB,14.6125 GB
0.8%,0.475994 GB,13.1464 GB,14.6125 GB
0.8%,0.475807 GB,13.1469 GB,14.6125 GB
0.8%,0.476048 GB,13.1464 GB,14.6125 GB
0.8%,0.476463 GB,13.1462 GB,14.6125 GB
0.8%,0.477207 GB,13.1454 GB,14.6125 GB
0.8%,0.476757 GB,13.1459 GB,14.6125 GB
0.8%,0.47686 GB,13.1458 GB,14.6125 GB
